@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L38489","4","0","49","0","10","2","3122","false"
"L38864","193","0","651","3","247","11","3122","false"
"L38865","178","0","590","3","258","14","1345","false"
"L38866","175","0","428","4","184","10","3122","false"
"L38867","188","0","540","2","135","14","1345","false"
"L37423","23","0","264","1","42","10","3122","false"
"L37424","6","0","124","0","45","11","3122","false"
"L37602","16","0","219","1","14","5","3122","false"
"L54119","1","0","148","0","29","9","3122","false"
"L54958","40","0","360","1","25","7","3122","false"
"L54959","44","0","434","7","83","8","3122","false"
"L54960","6","0","87","1","37","8","3122","false"
"L54961","28","0","245","18","296","14","1345","false"
"L54962","4","0","196","1","17","5","1345","false"
"L54963","1","0","7","0","3","2","3122","false"
"L54964","115","0","1374","7","122","8","1345","false"
"L54965","1","0","33","1","22","7","3122","false"
"L54966","15","0","115","2","16","5","3122","false"
"L54967","4","0","64","0","25","5","3122","false"
"L54968","1","0","6","0","10","4","3122","false"
"L54969","1","0","35","0","9","4","3122","false"
"L54970","3","0","44","0","11","5","3122","false"
"L54971","3","0","43","0","7","3","3122","false"
"L54972","1","0","13","0","9","3","3122","false"
"L55002","56","0","335","0","29","6","1345","false"
"L55003","18","0","106","0","41","7","1345","false"
"L55004","1","0","13","0","8","4","3122","false"
"L55223","15","0","109","1","48","7","3122","false"
"L55224","16","0","136","3","39","7","3122","false"
"L56167","10","0","71","0","12","5","420","false"
"L56168","10","0","70","0","20","5","3122","false"
"L56169","8","0","44","0","6","3","3122","false"
"L56170","2","0","58","0","13","4","3122","false"
"L56171","2","0","40","0","15","4","3122","false"
"L56172","2","0","40","0","14","4","3122","false"
"L56173","4","0","29","0","10","4","420","false"
"L56174","1","0","4","0","2","2","3122","false"
"L56175","7","0","46","0","3","3","16","false"
"L56176","8","0","87","0","16","5","3122","false"
"L56177","147","0","933","2","29","7","327","false"
"L56178","1","0","46","0","4","4","3122","false"
"L56179","1","0","36","0","4","4","3122","false"
"L56180","1","0","36","0","4","4","3122","false"
"L56181","1","0","8","0","5","3","420","false"
"L56182","4","0","29","0","7","4","420","false"
"L56183","4","0","58","0","9","3","3122","false"
"L56184","10","0","50","0","16","5","420","false"
"L56185","14","0","137","0","8","4","327","false"
"L56186","1","0","19","0","3","3","3122","false"
"L56187","1","0","37","0","2","2","3122","false"
"L56188","5","0","51","0","6","3","420","false"
"L56189","5","0","44","0","7","3","420","false"
"L56190","3","0","15","1","23","6","3122","false"
"L56191","10","0","63","0","23","7","3122","false"
"L56192","139","0","591","0","16","4","3122","false"
"L56193","4","0","72","1","20","4","420","false"
"L56194","1","0","10","1","14","4","3122","false"
"L56195","1","0","9","0","7","4","16","false"
"L56196","27","0","95","0","37","8","3122","false"
"L56197","1","0","28","4","117","10","327","false"
"L90678","8","0","117","0","18","7","3122","false"
"L125","21","0","124","0","47","9","3122","false"
"L304","1","0","156","1","63","12","1345","false"
"L305","1","0","25","0","12","7","17","false"
"L306","5","0","66","1","30","9","327","false"
"L307","25","0","168","2","36","9","3122","false"
"L308","15","0","247","1","39","10","327","false"
"L309","7","0","103","0","30","10","327","false"
"L310","37","0","368","2","128","14","3122","false"
"L311","271","0","1681","8","485","24","3122","false"
"L312","6","0","79","0","37","10","3122","false"
"L313","1","0","18","0","7","5","17","false"
"L314","5","0","616","3","164","16","1345","false"
"L315","1","0","32","0","27","7","327","false"
"L323","1","0","69","0","20","10","327","false"
"L17559","2","0","23","0","6","5","3122","false"
"L17560","1","0","42","0","6","5","3122","false"
"L17561","1","0","26","0","6","5","3122","false"
"L17562","3","0","107","0","6","5","3122","false"
"L17563","3","0","54","0","6","5","3122","false"
"L62700","2","0","46","0","18","6","3122","false"
"L65959","7","0","107","1","8","3","3122","false"
"L70532","1","0","124","0","2","2","1345","false"
"L70533","2","0","181","0","3","3","3122","false"
"L54992","19","0","190","1","13","5","43","false"
"L54993","20","0","194","1","11","5","43","false"
"L54994","14","0","174","1","15","5","43","false"
"L54995","14","0","194","1","36","6","43","false"
"L54996","34","0","305","0","27","6","43","false"
"L54997","41","0","343","1","27","6","43","false"
"L54998","14","0","194","1","30","7","43","false"
"L54999","18","0","223","1","33","6","43","false"
"L61532","11","0","68","0","28","4","3122","false"
"L61533","48","0","248","1","107","10","1345","false"
"L61534","135","0","710","5","279","16","3122","false"
"L61535","1","0","7","0","3","1","3122","false"
"L61536","1","0","19","0","15","2","3122","false"
"L61537","5","0","26","0","15","3","3122","false"
"L61538","20","0","99","2","31","4","3122","false"
"L61539","1","0","21","0","9","3","1345","false"
"L61540","2","0","13","0","1","1","3122","false"
"L62680","1","0","29","1","3","3","561","false"
"L62681","1","0","6","0","4","2","3122","false"
"L62682","41","0","238","8","127","10","1345","false"
"L62683","79","0","369","4","59","7","1345","false"
"L62684","1","0","11","2","22","4","3122","false"
"L62685","3","0","66","1","9","3","3122","false"
"L62686","6","0","27","2","11","5","1345","false"
"L62687","1","0","6","0","1","1","3122","false"
"L62688","1","0","11","0","8","2","3122","false"
"L62689","1","0","19","2","31","5","3122","false"
"L62690","1","0","10","0","16","3","3122","false"
"L62691","93","0","484","7","96","6","1345","false"
"L62692","8","0","82","0","11","3","3122","false"
"L62693","1","0","42","4","91","7","3122","false"
"L62694","168","0","1057","12","296","16","3122","false"
"L62695","6","0","53","0","4","3","327","false"
"L62696","1","0","23","0","8","1","3122","false"
"L62697","1","0","17","0","5","2","3122","false"
"L65467","1","0","19","0","11","4","3122","false"
"L65468","9","0","70","0","28","5","1345","false"
"L65469","13","0","95","0","25","3","3122","false"
"L65470","1","0","18","0","6","2","3122","false"
"L65471","1","0","11","0","9","2","3122","false"
"L65472","1","0","14","0","4","2","3122","false"
"L65473","1","0","31","0","5","2","3122","false"
"L65474","1","0","21","0","13","3","3122","false"
"L65475","1","0","18","0","8","1","3122","false"
"L65476","1","0","22","0","10","3","3122","false"
"L65477","1","0","18","0","6","2","3122","false"
"L65478","1","0","24","0","5","2","3122","false"
"L65479","1","0","23","0","2","2","3122","false"
"L65480","1","0","20","0","8","2","3122","false"
"L65481","1","0","21","0","7","2","3122","false"
"L65763","30","0","148","0","32","3","3122","false"
"L65764","8","0","65","1","19","5","1345","false"
"L65765","12","0","64","0","9","3","3122","false"
"L65766","1","0","5","0","14","3","3122","false"
"L65767","1","0","5","0","16","3","3122","false"
"L65768","1","0","5","0","13","3","3122","false"
"L65769","8","0","61","0","18","4","3122","false"
"L65930","1","0","24","0","10","2","3122","false"
"L65931","1","0","7","0","8","2","3122","false"
"L65955","41","0","255","2","87","12","327","false"
"L65956","2","0","64","0","2","2","3122","false"
"L65957","18","0","139","0","3","2","3122","false"
"L69877","1","0","15","0","5","3","3122","false"
"L69878","1","0","38","0","8","3","3122","false"
"L69879","16","0","54","0","6","3","3122","false"
"L69880","8","0","73","0","12","5","561","false"
"L69881","40","0","260","4","47","6","327","false"
"L70217","317","0","1152","0","5","3","3122","false"
"L70443","2","0","112","0","1","1","3122","false"
"L70525","1","0","19","0","2","2","1345","false"
"L70526","2","0","82","0","7","5","43","false"
"L70527","11","0","114","0","2","2","1345","false"
"L70528","1","0","31","0","2","2","1345","false"
"L70529","1","0","91","0","2","2","1345","false"
"L70530","41","0","352","0","15","5","1345","false"
"L70925","1","0","10","0","11","1","3122","false"
"L70926","39","0","206","4","79","8","1345","false"
"L63705","23","0","209","2","53","6","3122","false"
"L63706","2","0","73","1","8","3","3122","false"
"L63707","1","0","20","2","29","5","3122","false"
"L64827","1","0","5","0","3","3","1345","false"
"L64828","3","0","62","1","24","5","3122","false"
"L64829","1","0","54","5","44","5","3122","false"
"L64830","1","0","13","0","40","5","327","false"
"L64831","4","0","77","2","4","1","3122","false"
"L64832","3","0","79","4","26","3","3122","false"
"L64833","12","0","125","7","80","8","3122","false"
"L64834","7","0","93","3","52","7","3122","false"
"L64835","10","0","130","2","3","1","3122","false"
"L64836","15","0","178","5","73","5","3122","false"
"L64837","2","0","20","2","4","2","1345","false"
"L64838","8","0","77","3","12","4","3122","false"
"L64839","2","0","54","1","1","1","1345","false"
"L64840","2","0","47","1","19","5","3122","false"
"L64841","4","0","67","1","5","1","3122","false"
"L64842","2","0","76","1","4","3","3122","false"
"L64843","3","0","84","1","47","6","1345","false"
"L64844","34","0","193","5","54","8","3122","false"
"L64845","6","0","44","1","2","1","3122","false"
"L64846","9","0","130","3","66","7","3122","false"
"L65395","4","0","120","0","4","2","1345","false"
"L66306","8","0","47","1","41","7","327","false"
"L66307","1","0","26","0","25","7","3122","false"
"L69884","12","0","81","0","3","3","1345","false"
"L69918","26","0","154","1","31","5","3122","false"
"L69919","1","0","4","0","5","2","3122","false"
"L69920","1","0","13","0","2","1","3122","false"
"L66310","4","0","25","1","11","4","327","false"
"L66311","8","0","66","4","19","7","1345","false"
"L66312","47","0","339","4","161","12","1345","false"
"L66313","10","0","121","0","3","3","1345","false"
"L66314","288","0","1731","17","503","15","3122","false"
"L66315","3","0","30","1","9","4","1345","false"
"L66971","3","0","36","0","7","3","3122","false"
"L66972","20","0","104","0","28","11","1345","false"
"L66973","11","0","96","1","47","9","3122","false"
"L66974","1","0","17","0","6","2","3122","false"
"L66975","8","0","66","0","18","4","82","false"
"L66976","89","0","445","6","100","11","561","false"
"L66977","1","0","117","0","23","4","3122","false"
"L66978","5","0","61","1","11","3","3122","false"
"L66979","5","0","93","1","24","5","43","false"
"L66980","7","0","95","0","53","8","3122","false"
"L66981","125","0","611","2","162","11","561","false"
"L66982","1","0","36","0","78","7","3122","false"
"L66985","1","0","11","0","10","2","3122","false"
"L66986","4","0","65","1","79","8","3122","false"
"L66987","45","0","189","3","81","12","3122","false"
"L66988","2","0","17","0","7","2","3122","false"
"L66989","10","0","60","1","24","3","3122","false"
"L66990","10","0","44","1","12","3","113","false"
"L66991","11","0","32","0","8","2","3122","false"
"L66992","2","0","17","0","6","2","3122","false"
"L68299","5","0","89","0","10","4","16","false"
"L68300","2","0","16","0","6","2","1345","false"
"L68301","10","0","93","0","10","4","16","false"
"L68302","1","0","9","0","5","2","1345","false"
"L68303","3","0","18","0","11","3","1345","false"
"L68304","9","0","65","0","14","5","3122","false"
"L68305","1","0","17","0","6","2","1345","false"
"L68306","10","0","37","0","6","2","1345","false"
"L68307","36","0","219","0","20","4","3122","false"
"L66995","10","0","56","0","15","4","3122","false"
"L66996","1","0","19","0","3","1","3122","false"
"L66997","5","0","36","0","10","3","3122","false"
"L66998","1","0","22","0","16","1","3122","false"
"L66999","13","0","78","0","22","6","3122","false"
"L67141","3","0","31","0","17","1","3122","false"
"L67142","2","0","34","0","16","2","1345","false"
"L67143","9","0","55","0","26","2","1345","false"
"L67144","5","0","41","0","11","2","3122","false"
"L67145","3","0","33","0","16","1","3122","false"
"L67219","1","0","15","0","6","2","3122","false"
"L67220","3","0","36","0","29","4","1345","false"
"L67221","7","0","43","0","22","2","561","false"
"L67222","3","0","30","0","72","7","3122","false"
"L67223","11","0","91","0","4","1","3122","false"
"L67224","44","0","263","1","71","9","82","false"
"L67225","3","0","31","0","19","2","3122","false"
"L67226","3","0","40","0","26","4","3122","false"
"L67227","8","0","47","0","36","4","3122","false"
"L67228","6","0","44","1","22","5","1345","false"
"L67229","4","0","52","0","18","4","1345","false"
"L67230","11","0","90","0","23","5","1345","false"
"L67231","7","0","54","0","13","2","3122","false"
"L67232","1","0","32","0","13","2","3122","false"
"L67233","5","0","52","0","34","6","1345","false"
"L67234","6","0","78","0","51","8","8","false"
"L67235","54","0","237","1","54","8","3122","false"
"L67236","1","0","25","1","21","4","3122","false"
"L67237","5","0","43","0","2","2","1345","false"
"L67238","7","0","47","0","2","1","3122","false"
"L67239","1","0","6","0","6","2","3122","false"
"L67698","1","0","27","0","14","2","3122","false"
"L67887","9","0","60","0","8","4","3122","false"
"L67898","18","0","114","0","10","5","3122","false"
"L67899","30","0","134","0","33","7","1345","false"
"L67900","3","0","32","0","21","1","3122","false"
"L67901","14","0","71","0","51","5","3122","false"
"L67902","34","0","218","0","54","7","82","false"
"L67903","2","0","35","0","36","3","3122","false"
"L67904","10","0","79","0","20","5","1345","false"
"L67905","21","0","107","1","12","3","3122","false"
"L67906","7","0","66","0","11","4","82","false"
"L67907","26","0","145","0","21","1","3122","false"
"L67908","56","0","250","0","51","5","1345","false"
"L67909","23","0","149","0","24","8","1345","false"
"L68268","3","0","31","0","6","3","3122","false"
"L68269","14","0","70","2","40","4","3122","false"
"L68270","8","0","53","0","12","1","3122","false"
"L61551","54","0","303","4","25","5","3122","false"
"L61552","71","0","401","9","132","7","3122","false"
"L61553","41","0","318","4","67","5","3122","false"
"L61554","3","0","108","2","36","5","3122","false"
"L61555","3","0","75","1","18","5","3122","false"
"L61556","177","0","1044","18","326","14","3122","false"
"L61557","1","0","7","0","1","1","3122","false"
"L62639","1","0","4","0","12","3","3122","false"
"L62651","10","0","115","1","4","2","1345","false"
"L62652","10","0","132","1","2","2","1345","false"
"L62653","6","0","96","0","10","5","1345","false"
"L62654","23","0","311","2","32","6","1345","false"
"L62655","3","0","62","0","3","2","327","false"
"L62656","6","0","120","0","4","3","1345","false"
"L62657","17","0","138","1","24","6","3122","false"
"L62658","6","0","73","2","18","6","1345","false"
"L62659","2","0","30","0","2","2","1345","false"
"L62660","2","0","109","0","2","2","1345","false"
"L62661","4","0","55","0","1","1","3122","false"
"L62662","4","0","42","0","1","1","3122","false"
"L62663","1","0","19","1","3","2","1345","false"
"L62664","1","0","24","0","2","2","1345","false"
"L62665","1","0","24","0","2","2","1345","false"
"L62666","13","0","197","0","15","6","82","false"
"L62667","1","0","17","0","2","2","327","false"
"L62668","1","0","17","1","6","3","327","false"
"L62669","1","0","14","0","2","2","327","false"
"L62670","1","0","17","2","17","6","327","false"
"L62671","4","0","57","0","4","4","43","false"
"L62672","1","0","6","0","10","4","420","false"
"L62673","1","0","17","0","7","5","82","false"
"L62674","10","0","84","0","18","4","1345","false"
"L62675","3","0","71","3","20","5","3122","false"
"L62676","26","0","172","0","20","4","1345","false"
"L62677","3","0","43","2","7","5","1345","false"
"L62678","18","0","218","4","57","6","3122","false"
"L63207","7","0","57","1","4","2","3122","false"
"L63208","5","0","71","1","3","1","3122","false"
"L63209","4","0","18","0","4","3","1345","false"
"L63395","9","0","55","0","5","4","113","false"
"L70986","21","0","180","3","42","5","3122","false"
"L70987","19","0","148","0","9","3","3122","false"
"L70990","7","0","47","0","33","7","1345","false"
"L70991","54","0","310","2","58","6","561","false"
"L70992","67","0","329","7","37","6","561","false"
"L70993","1","0","9","1","6","3","3122","false"
"L70994","8","0","39","0","7","1","3122","false"
"L70995","4","0","39","0","9","2","3122","false"
"L70996","3","0","92","2","133","11","1345","false"
"L70997","1","0","18","0","11","1","3122","false"
"L70998","1","0","5","0","5","3","3122","false"
"L70999","1","0","11","0","3","1","3122","false"
"L71000","1","0","7","0","6","4","1345","false"
"L71001","1","0","7","0","7","3","3122","false"
"L71424","2","0","36","0","7","1","3122","false"
"L71425","1","0","17","0","9","1","3122","false"
"L71451","4","0","40","0","5","3","561","false"
"L71452","5","0","42","0","14","3","3122","false"
"L71453","1","0","78","0","2","2","1345","false"
"L71454","1","0","114","0","2","1","561","false"
"L71455","11","0","208","0","6","2","561","false"
"L71467","10","0","204","0","15","5","3122","false"
"L72565","2","0","87","2","23","5","3122","false"
"L72566","2","0","65","0","14","4","3122","false"
"L72567","3","0","44","0","2","2","1345","false"
"L72568","8","0","71","0","7","3","3122","false"
"L72569","6","0","160","2","34","7","1345","false"
"L72570","2","0","89","5","24","5","3122","false"
"L72571","8","0","184","1","16","4","82","false"
"L72572","9","0","172","0","14","5","1345","false"
"L72573","2","0","37","1","2","2","1345","false"
"L72574","1","0","35","0","5","3","3122","false"
"L72575","1","0","46","1","10","5","82","false"
"L73501","31","0","257","2","23","4","113","false"
"L73502","6","0","120","0","23","5","3122","false"
"L73503","5","0","106","0","5","3","3122","false"
"L73504","5","0","113","1","19","6","327","false"
"L73505","24","0","162","1","18","4","1345","false"
"L73506","5","0","82","2","4","3","3122","false"
"L73507","9","0","163","4","20","5","1345","false"
"L73508","3","0","105","0","7","4","1345","false"
"L73509","3","0","32","1","6","3","1345","false"
"L73510","4","0","61","0","6","3","3122","false"
"L73511","3","0","80","0","1","1","1345","false"
"L73512","3","0","85","0","1","1","1345","false"
"L73513","1","0","43","0","2","2","3122","false"
"L73514","3","0","20","1","33","6","1345","false"
"L72595","1","0","59","2","11","4","3122","false"
"L72596","1","0","62","0","1","1","327","false"
"L93318","4","0","63","0","5","3","1345","false"
"L93319","7","0","61","0","6","3","3122","false"
"L93320","55","0","431","0","10","4","43","false"
"L93321","2","0","41","0","2","2","327","false"
"L93322","6","0","63","1","18","7","43","false"
"L93323","1","0","23","0","7","4","3122","false"
"L93324","1","0","24","0","6","3","420","false"
"L93325","15","0","49","0","7","4","3122","false"
"L93326","15","0","50","0","6","3","420","false"
"L93327","11","0","40","0","7","4","3122","false"
"L93328","11","0","41","0","6","3","420","false"
"L93329","15","0","39","0","6","3","420","false"
"L93330","15","0","49","0","8","4","3122","false"
"L93331","1","0","117","0","26","6","82","false"
"L93332","1","0","22","0","8","4","3122","false"
"L93333","1","0","23","0","7","3","3122","false"
"L93334","13","0","128","0","3","3","327","false"
"L93335","13","0","166","0","21","6","3122","false"
"L93336","8","0","112","0","12","4","561","false"
"L93337","13","0","126","0","12","5","3122","false"
"L93338","1","0","29","1","2","2","3122","false"
"L93339","1","0","127","0","8","4","561","false"
"L93340","11","0","171","0","20","5","3122","false"
"L93341","2","0","41","3","9","3","561","false"
"L93342","1","0","20","0","2","2","3122","false"
"L96121","5","0","33","0","15","7","327","false"
"L71464","57","0","346","0","6","4","3122","false"
"L71465","40","0","260","0","5","4","3122","false"
"L71764","42","0","228","0","12","5","3122","false"
"L71765","16","0","99","0","39","5","3122","false"
"L71766","5","0","37","0","7","5","3122","false"
"L72007","1","0","20","0","11","4","3122","false"
"L72008","2","0","38","0","17","3","3122","false"
"L72009","5","0","43","0","18","4","1345","false"
"L72010","38","0","239","1","48","5","3122","false"
"L72145","9","0","62","0","31","7","327","false"
"L72177","18","0","82","0","18","5","1345","false"
"L72196","1","0","19","0","7","4","327","false"
"L72197","8","0","285","0","9","3","3122","false"
"L72558","33","0","163","6","64","9","3122","false"
"L72559","18","0","108","3","38","9","3122","false"
"L72560","75","0","260","7","72","10","1345","false"
"L72561","32","0","184","5","58","8","1345","false"
"L72562","25","0","123","2","24","5","1345","false"
"L72563","14","0","107","3","54","8","1345","false"
"L72503","18","0","123","1","21","6","3122","false"
"L72578","4","0","51","1","18","5","420","false"
"L72579","1","0","14","2","9","5","3122","false"
"L72580","1","0","14","2","7","4","3122","false"
"L72581","1","0","14","2","7","4","3122","false"
"L72582","13","0","77","4","36","6","1345","false"
"L72583","6","0","72","2","26","8","1345","false"
"L72584","1","0","14","1","11","5","3122","false"
"L72585","1","0","14","2","7","4","3122","false"
"L72586","1","0","14","2","7","4","3122","false"
"L72587","5","0","60","2","34","6","1345","false"
"L72588","15","0","99","2","44","7","3122","false"
"L72589","1","0","14","1","11","5","3122","false"
"L72590","1","0","14","2","7","4","3122","false"
"L72591","1","0","14","2","7","4","3122","false"
"L72592","22","0","133","3","21","4","3122","false"
"L72593","17","0","103","3","36","7","327","false"
"L93288","162","0","999","13","173","11","3122","false"
"L93289","39","0","371","1","14","6","82","false"
"L93290","1","0","20","0","6","3","3122","false"
"L93291","8","0","42","0","13","5","1345","false"
"L93292","84","0","345","8","74","10","327","false"
"L93293","18","0","80","1","46","7","327","false"
"L93294","3","0","32","1","18","5","3122","false"
"L93295","83","0","396","8","92","9","1345","false"
"L93296","2","0","21","0","6","3","3122","false"
"L93297","8","0","45","0","13","5","1345","false"
"L93298","1","0","24","0","14","4","3122","false"
"L93299","1","0","95","0","13","5","3122","false"
"L93300","1","0","6","0","1","1","3122","false"
"L93301","1","0","43","0","3","1","3122","false"
"L93302","1","0","14","0","4","2","3122","false"
"L93303","2","0","79","2","43","8","3122","false"
"L93304","4","0","76","0","6","3","3122","false"
"L93305","15","0","110","2","56","7","82","false"
"L93306","1","0","77","2","30","6","3122","false"
"L93307","54","0","254","1","24","7","3122","false"
"L93308","19","0","184","4","32","5","1345","false"
"L93309","20","0","122","4","62","9","82","false"
"L93310","245","0","806","9","117","10","82","false"
"L93311","16","0","66","2","34","7","82","false"
"L93312","4","0","17","0","6","3","3122","false"
"L93313","3","0","74","1","25","6","1345","false"
"L93345","3","0","28","0","3","2","3122","false"
"L93346","18","0","154","0","12","6","1345","false"
"L93347","59","0","880","0","32","5","3122","false"
"L93348","9","0","81","0","7","2","3122","false"
"L73950","1","0","70","0","2","2","3122","false"
"L73973","2","0","124","0","10","4","561","false"
"L75323","2","0","21","0","1","0","0","false"
"L75324","2","0","17","0","1","0","0","false"
"L75325","1","0","31","1","3","2","420","false"
"L75326","8","0","208","1","2","2","561","false"
"L75327","3","0","132","1","10","4","3122","false"
"L75328","1","0","17","1","1","1","561","false"
"L75329","1","0","35","1","1","1","561","false"
"L76307","1","0","101","1","2","2","561","false"
"L77295","6","0","189","0","4","4","420","false"
"L73959","6","0","82","0","16","5","3122","false"
"L73960","61","0","371","1","46","9","1345","false"
"L73961","3","0","15","0","4","3","1345","false"
"L73962","1","0","24","0","7","2","3122","false"
"L73963","63","0","595","7","152","15","1345","false"
"L73964","10","0","92","2","35","7","1345","false"
"L73965","10","0","80","0","13","7","1345","false"
"L73966","103","0","398","1","35","8","3122","false"
"L73967","5","0","51","0","5","1","3122","false"
"L73968","38","0","216","0","31","8","561","false"
"L73969","53","0","252","1","43","8","3122","false"
"L73970","1","0","16","0","2","1","3122","false"
"L73971","1","0","16","0","3","1","3122","false"
"L75300","1","0","23","0","6","2","3122","false"
"L75318","51","0","252","0","10","2","3122","false"
"L75319","362","0","1045","3","114","14","327","false"
"L75320","34","0","107","0","7","4","420","false"
"L75321","221","0","759","4","80","10","561","false"
"L76281","7","0","28","0","6","3","3122","false"
"L76301","3","0","32","0","2","1","561","false"
"L76302","27","0","226","1","17","8","3122","false"
"L76303","10","0","141","0","14","7","3122","false"
"L76304","15","0","137","0","15","7","3122","false"
"L76305","1","0","4","0","3","3","420","false"
"L76659","25","0","158","0","9","5","561","false"
"L76660","23","0","128","0","12","5","3122","false"
"L76802","1","0","42","0","11","5","3122","false"
"L76803","1","0","41","0","14","5","3122","false"
"L76852","13","0","234","0","15","6","561","false"
"L76853","4","0","73","0","10","5","3122","false"
"L76854","1","0","34","0","9","5","3122","false"
"L76855","6","0","52","1","17","6","3122","false"
"L76856","16","0","194","0","11","4","3122","false"
"L76857","7","0","60","0","9","4","3122","false"
"L76858","1","0","15","1","5","3","3122","false"
"L77643","2","0","79","0","15","5","1345","false"
"L77812","2","0","30","0","3","1","561","false"
"L77813","22","0","205","0","17","7","3122","false"
"L77814","10","0","143","0","16","7","3122","false"
"L77815","14","0","134","0","17","7","3122","false"
"L77816","1","0","4","0","3","3","420","false"
"L77817","1","0","27","0","14","3","3122","false"
"L77818","20","0","71","0","5","2","3122","false"
"L77819","219","0","863","2","29","5","561","false"
"L77820","1","0","26","0","1","0","0","false"
"L77289","18","0","93","0","8","4","3122","false"
"L77290","1","0","23","0","5","4","3122","false"
"L77291","2","0","26","0","5","4","3122","false"
"L77292","17","0","121","1","11","4","3122","false"
"L77673","72","0","358","2","43","10","1345","false"
"L78413","7","0","43","0","4","4","1345","false"
"L78414","7","0","67","0","10","6","1345","false"
"L78415","1","0","15","0","4","4","1345","false"
"L78416","1","0","5","0","4","4","1345","false"
"L78537","21","0","189","0","6","3","1345","false"
"L78538","8","0","75","0","26","6","3122","false"
"L85519","2","0","26","0","6","2","3122","false"
"L85520","1","0","14","0","2","0","0","false"
"L85521","74","0","447","0","20","5","1345","false"
"L85522","19","0","149","0","9","6","1345","false"
"L85523","1","0","34","0","6","3","1345","false"
"L85524","3","0","37","0","8","3","1345","false"
"L85525","1","0","60","0","1","0","0","false"
"L85990","2","0","17","0","5","3","3122","false"
"L86324","3","0","28","4","24","5","113","false"
"L78541","2","0","37","2","12","4","1345","false"
"L78542","3","0","39","1","21","5","1345","false"
"L78543","1","0","40","3","14","4","561","false"
"L78544","1","0","17","0","2","2","327","false"
"L78545","21","0","144","4","45","6","1345","false"
"L78546","26","0","327","1","5","3","1345","false"
"L78547","1","0","50","0","10","1","1345","false"
"L78548","5","0","198","1","31","6","1345","false"
"L78549","12","0","928","0","39","7","3122","false"
"L78550","17","0","1066","2","33","5","3122","false"
"L78551","6","0","71","0","21","5","3122","false"
"L78552","26","0","242","5","28","6","327","false"
"L78553","42","0","306","0","16","4","1345","false"
"L78554","5","0","221","0","21","3","3122","false"
"L78555","39","0","358","1","12","4","1345","false"
"L78556","2","0","48","0","8","3","3122","false"
"L78557","7","0","75","0","37","11","1345","false"
"L78558","5","0","95","0","12","6","1345","false"
"L78559","19","0","166","0","19","5","3122","false"
"L78560","28","0","201","0","50","8","3122","false"
"L78561","8","0","54","0","2","2","327","false"
"L78562","56","0","730","4","159","8","327","false"
"L78563","1","0","162","1","22","6","561","false"
"L78564","10","0","82","0","17","3","1345","false"
"L78565","7","0","130","1","23","5","3122","false"
"L78566","21","0","322","4","52","6","3122","false"
"L78567","175","0","1987","1","136","8","1345","false"
"L78568","181","0","1968","1","46","7","327","false"
"L78569","6","0","93","0","6","2","3122","false"
"L78570","2","0","48","0","16","4","1345","false"
"L78571","1","0","125","0","9","4","1345","false"
"L78572","1","0","59","0","8","2","1345","false"
"L78573","1","0","24","0","19","6","3122","false"
"L78574","4","0","47","0","14","2","1345","false"
"L78575","1","0","30","0","24","5","3122","false"
"L78576","16","0","222","1","75","6","3122","false"
"L78577","12","0","88","1","26","5","1345","false"
"L78578","4","0","57","1","42","6","3122","false"
"L78579","11","0","251","1","68","9","82","false"
"L78580","1","0","17","1","4","2","1345","false"
"L78581","5","0","79","0","15","6","1345","false"
"L78582","3","0","100","0","26","6","3122","false"
"L78583","1","0","22","1","8","4","1345","false"
"L78584","2","0","639","0","24","6","327","false"
"L78585","1","0","7","0","3","0","0","false"
"L78586","1","0","3","0","4","3","3122","false"
"L78587","1","0","33","0","1","0","0","false"
"L78588","1","0","68","1","10","5","1345","false"
"L78589","5","0","94","0","3","2","327","false"
"L78590","14","0","211","0","34","6","327","false"
"L78591","15","0","157","0","16","2","3122","false"
"L78592","5","0","87","2","14","4","3122","false"
"L78593","7","0","92","0","26","5","561","false"
"L78594","13","0","229","1","97","6","327","false"
"L78595","11","0","75","1","19","5","1345","false"
"L78596","28","0","135","0","23","4","561","false"
"L78597","26","0","152","0","23","5","3122","false"
"L78598","1","0","34","0","12","4","1345","false"
"L78599","4","0","56","1","6","3","1345","false"
"L78600","6","0","216","1","47","8","1345","false"
"L78601","8","0","471","2","22","3","3122","false"
"L78602","146","0","1353","8","136","9","3122","false"
"L78603","3","0","316","1","24","4","1345","false"
"L78604","2","0","250","0","15","5","561","false"
"L78605","3","0","319","0","21","4","561","false"
"L78606","3","0","277","0","19","4","561","false"
"L78607","1","0","213","0","8","3","561","false"
"L78608","2","0","285","0","18","4","561","false"
"L78609","2","0","60","0","5","3","1345","false"
"L78610","36","0","899","5","111","10","1345","false"
"L78611","44","0","453","1","15","5","1345","false"
"L78612","42","0","389","0","17","6","1345","false"
"L78613","103","0","713","0","17","6","1345","false"
